Date,active_users_mobile,active_users_desktop,active_users_total
20251230,97,3,700
20260105,77,1,688
20260101,111,12,674
20251231,86,2,618
20260102,95,1,590
20260112,93,5,560
20260129,119,1,529
20260125,157,4,512
20260123,81,1,487
20260115,86,2,471
20260119,103,1,462
20260122,77,2,456
20260106,83,3,452
20260130,95,4,440
20260113,105,6,435
20260107,92,4,423
20260202,114,4,418
20260116,90,0,418
20260108,98,2,413
20260121,110,5,414
20260126,115,2,414
20260103,92,5,412
20260128,195,3,389
20260131,121,3,373
20260110,95,1,372
20260203,79,5,370
20260104,93,5,369
20260109,81,2,367
20260117,83,1,362
20260118,89,2,362
20260120,106,7,359
20260201,117,4,343
20260114,89,1,333
20251225,105,1,319
20260127,90,6,309
20251214,79,2,303
20251228,98,6,295
20251229,75,2,293
20260111,105,2,282
20260124,87,6,276
20251207,55,2,274
20251221,89,0,270
20251210,61,0,265
20251218,70,4,254
20251212,70,1,253
20251227,69,2,249
20251208,55,0,246
20251204,61,1,243
20251217,62,1,240
20251209,51,4,239
20251211,58,0,239
20251205,68,0,236
20251213,63,8,232
20251220,73,1,231
20251224,73,1,230
20251226,63,4,228
20251222,80,0,223
20251216,57,2,221
20251215,55,1,217
20251223,76,0,215
20251219,58,1,214
20251206,60,1,195
